caso,premissa,premissa_label,esperado,inferido,acerto,evidencia
15,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
15,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
15,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
15,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
16,tipo_problema,Tipo de problema,Ordenacao,Ordenacao,1,ordenar(1) | ranking(1) | prioridade(1) | ordenar as alternativas(1) | regra_precedencia_ordenacao
16,compensatoriedade,Compensatoriedade,ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto
16,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
16,monotonicidade,Monotonicidade,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | veto(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico
16,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
16,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
16,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
16,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
16,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
16,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
17,tipo_problema,Tipo de problema,Ordenacao,Ordenacao,1,ordenar(1) | ranking(1) | prioridade(1) | ordenar as alternativas(1) | regra_precedencia_ordenacao
17,compensatoriedade,Compensatoriedade,NaoCompensatorio,NaoCompensatorio,1,veto(1) | nao admite compensacao(1) | criterio de veto(1) | requisito minimo obrigatorio(1) | regra_regex_nao_compensatorio
17,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
17,monotonicidade,Monotonicidade,Monotonico,Monotonico,1,regra_semantica_monotonico
17,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
17,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
17,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
17,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
17,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
17,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
18,tipo_problema,Tipo de problema,Ordenacao,Ordenacao,1,ordenar(1) | ranking(1) | prioridade(1) | ordenar as alternativas(1) | regra_precedencia_ordenacao
18,compensatoriedade,Compensatoriedade,NaoCompensatorio,NaoCompensatorio,1,veto(1) | nao admite compensacao(1) | criterio de veto(1) | requisito minimo obrigatorio(1) | regra_regex_nao_compensatorio
18,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
18,monotonicidade,Monotonicidade,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | veto(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico
18,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
18,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
18,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
18,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
18,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
18,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
